 fabmastr        Tebo-ICT,  license #XingShang
CL1U1C130      1.905    -0.700  180.0  B1   (T)  'MB_C0402', 'MB_C0402'
CL1U1C131      2.055    -0.300   90.0  B1   (T)  'MB_C0603', 'MB_C0603'
CL1U1C21       2.055    -0.545   90.0  B1   (T)  'MB_C0402', 'MB_C0402'
CL1U1C27       1.905    -0.615  180.0  B1   (T)  'MB_C0402', 'MB_C0402'
CL1U1C29       2.370    -0.845    0.0  B1   (T)  'MB_C0402', 'MB_C0402'
CL1U1C3        2.240    -0.545   90.0  B1   (T)  'MB_C0402', 'MB_C0402'
CL1U1C34       1.905    -0.840  180.0  B1   (T)  'MB_C0402', 'MB_C0402'
CL1U1C35       1.845    -0.780    0.0  B1   (T)  'MB_C0805', 'MB_C0805'
CL1U1C39       2.045    -0.970  270.0  B1   (T)  'MB_C0402', 'MB_C0402'
CL1U1C41       2.370    -0.720    0.0  B1   (T)  'MB_C0402', 'MB_C0402'
CL1U1C42       2.130    -0.970  270.0  B1   (T)  'MB_C0402', 'MB_C0402'
CL1U1C45       2.260    -0.970  270.0  B1   (T)  'MB_C0402', 'MB_C0402'
CL1U1C47       2.340    -0.970  270.0  B1   (T)  'MB_C0402', 'MB_C0402'
CL1U1C48       2.380    -0.970  270.0  B1   (T)  'MB_C0402', 'MB_C0402'
CL1U1C6        2.090    -0.970  270.0  B1   (T)  'MB_C0402', 'MB_C0402'
CL1U1C9        2.370    -0.775    0.0  B1   (T)  'MB_C0402', 'MB_C0402'
CL1X1          2.225    -1.120  180.0  B1   (T)  'MB_XTAL_2P_452X197_H145_LFH', 'MB_XTAL_2P_452X197_H145_LFH'
LPL10          7.330    -6.395  270.0  E4   (T)  'MB_L_D_2P_394_236X138_LF3', 'MB_L_D_2P_394_236X138_LF3'
LPL2           6.600    -1.755  180.0  E2   (T)  'MB_INDUCTORD2PS453CHU_LF3', 'MB_INDUCTORD2PS453CHU_LF3'
LPL3           5.915    -1.755  180.0  D2   (T)  'MB_INDUCTORD2PS453CHU_LF3', 'MB_INDUCTORD2PS453CHU_LF3'
LPL4           5.230    -1.755  180.0  D2   (T)  'MB_INDUCTORD2PS453CHU_LF3', 'MB_INDUCTORD2PS453CHU_LF3'
